Department.Of.Labor.Uncleaned.Data,Footnote,State,State (Minimum Wage Data.csv),Year,Year (Minimum Wage Data.csv),AEMW<8 and AUR>7,AEMW>8 and AUR>7,CPI.Average,Department.Of.Labor.Cleaned.High.Value,Department.Of.Labor.Cleaned.High.Value.2020.Dollars,Department.Of.Labor.Cleaned.Low.Value,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Unemployment Rate
...,,Alabama,Alabama,1990,1990,True,False,130.7,0,0,0,0,3.35,6.63,3.35,6.63,0,0,8.226990050
...,,Arizona,Arizona,1990,1990,True,False,130.7,0,0,0,0,3.35,6.63,3.35,6.63,0,0,8.285555556
3.25,,Arkansas,Arkansas,1990,1990,True,False,130.7,3.25,6.43,3.25,6.43,3.35,6.63,3.35,6.63,3.25,6.43,7.642222222
3.35,,California,California,1990,1990,True,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,8.303448276
3,,Colorado,Colorado,1990,1990,False,False,130.7,3,5.94,3,5.94,3.35,6.63,3.35,6.63,3,5.94,5.260677083
3.75,,Connecticut,Connecticut,1990,1990,False,False,130.7,3.75,7.42,3.75,7.42,3.75,7.42,3.35,6.63,3.75,7.42,5.151041667
3.35,,Delaware,Delaware,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,4.383333333
3.85,,Hawaii,Hawaii,1990,1990,False,False,130.7,3.85,7.62,3.85,7.62,3.85,7.62,3.35,6.63,3.85,7.62,3.6375
2.3,,Idaho,Idaho,1990,1990,False,False,130.7,2.3,4.55,2.3,4.55,3.35,6.63,3.35,6.63,2.3,4.55,6.321401515
3.35,,Illinois,Illinois,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,6.575898693
2,,Indiana,Indiana,1990,1990,False,False,130.7,2,3.96,2,3.96,3.35,6.63,3.35,6.63,2,3.96,6.023731884
...,,Iowa,Iowa,1990,1990,False,False,130.7,0,0,0,0,3.35,6.63,3.35,6.63,0,0,4.356902357
1.6,,Kansas,Kansas,1990,1990,False,False,130.7,1.6,3.17,1.6,3.17,3.35,6.63,3.35,6.63,1.6,3.17,3.441507937
3.35,,Kentucky,Kentucky,1990,1990,True,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,7.274513889
...,,Louisiana,Louisiana,1990,1990,False,False,130.7,0,0,0,0,3.35,6.63,3.35,6.63,0,0,6.1046875
3.65,,Maine,Maine,1990,1990,False,False,130.7,3.65,7.22,3.65,7.22,3.65,7.22,3.35,6.63,3.65,7.22,5.732291667
3.35,,Maryland,Maryland,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,5.723263889
3.65,,Massachusetts,Massachusetts,1990,1990,False,False,130.7,3.65,7.22,3.65,7.22,3.65,7.22,3.35,6.63,3.65,7.22,6.210714286
3.35,,Michigan,Michigan,1990,1990,True,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,8.860441767
3.55 & 3.50(f),(f),Minnesota,Minnesota,1990,1990,False,False,130.7,3.5,6.93,3.55,7.03,3.55,7.03,3.35,6.63,3.55,7.03,6.088793103
...,,Mississippi,Mississippi,1990,1990,True,False,130.7,0,0,0,0,3.35,6.63,3.35,6.63,0,0,8.838109756
...,,Missouri,Missouri,1990,1990,False,False,130.7,0,0,0,0,3.35,6.63,3.35,6.63,0,0,6.540362319
3.35,,Montana,Montana,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,5.305803571
3.35,,Nebraska,Nebraska,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,2.002777778
3.35,,Nevada,Nevada,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,5.261274510
3.55,,New Hampshire,New Hampshire,1990,1990,False,False,130.7,3.55,7.03,3.55,7.03,3.55,7.03,3.35,6.63,3.55,7.03,5.676666667
3.35,,New Jersey,New Jersey,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,5.103174603
3.35,,New Mexico,New Mexico,1990,1990,True,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,8.228030303
3.35,,New York,New York,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,5.420564516
3.35,,North Carolina,North Carolina,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,4.932
2.80 - 3.10,,North Dakota,North Dakota,1990,1990,False,False,130.7,3.1,6.14,2.8,5.54,3.35,6.63,3.35,6.63,2.8,5.54,3.942452830
2.3,,Ohio,Ohio,1990,1990,False,False,130.7,2.3,4.55,2.3,4.55,3.35,6.63,3.35,6.63,2.3,4.55,6.707007576
3.35,,Oklahoma,Oklahoma,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,6.250432900
3.35,,Oregon,Oregon,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,6.734722222
3.35,,Pennsylvania,Pennsylvania,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,6.499751244
3.65,,Rhode Island,Rhode Island,1990,1990,False,False,130.7,3.65,7.22,3.65,7.22,3.65,7.22,3.35,6.63,3.65,7.22,5.985
...,,South Carolina,South Carolina,1990,1990,False,False,130.7,0,0,0,0,3.35,6.63,3.35,6.63,0,0,5.996014493
2.8,,South Dakota,South Dakota,1990,1990,False,False,130.7,2.8,5.54,2.8,5.54,3.35,6.63,3.35,6.63,2.8,5.54,4.310227273
...,,Tennessee,Tennessee,1990,1990,False,False,130.7,0,0,0,0,3.35,6.63,3.35,6.63,0,0,6.716578947
3.35,,Texas,Texas,1990,1990,False,False,130.7,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,3.35,6.63,5.589468504
2.50 - 2.75(b),(b),Utah,Utah,1990,1990,False,False,130.7,2.75,5.44,2.5,4.95,3.35,6.63,3.35,6.63,2.5,4.95,5.883333333
